instagram_comments,offensive_language,offensiveness_levels,hate_speech
Isso é no cúmulo.... Simplesmente ridículo!!!,1,2,-1
Nojo desse canastrão!,1,3,-1
"tem gente que acha normal , este velho virou um pedofilo na tv aberta, e tem gente que acha engraçado",1,2,-1
Puta nojo desse cara,1,2,-1
"Nojo!!!! Mas a família tradicional brasileira adora, não é? Muita hipocrisia!!! 🤮🤮🤮",1,1,-1
Nojento 😧,1,3,-1
Nojo,1,1,-1
Isso é um escroto. Velho safado.🤮,1,2,-1
Tudi lixo e me admiro mães levando crianças lá 😩,1,1,-1
"Idiota, pergunta a tua neta velho nojento!",1,1,-1
Esse velho tá louco,1,2,-1
Horrível! Silvio precisa ser parado urgente!!! 😢😢😢,1,2,-1
Ridículo,1,1,-1
ESCROTISSIMO,1,2,-1
Esclerosado!,1,2,-1
velho nojento,1,2,-1
Ridículo,1,2,-1
E ainda acham engraçado. Ridículos,1,2,-1
Idiota,1,1,-1
"Absurdo, um babaca desse e ainda tem audiência!",1,2,-1
"Pelo amor de Deus, cadê o pai desta criança não vai, fazer nada só porque o veio do sbt é amigo do bozo?",1,3,-1
Que ridículo! 🤢🤮,1,2,-1
"Parece gagá, mas sempre foi assim. É um nojento mau caráter mesmo. Mais um episódio grotesco desse cretino com crianças. #racista e #pedófilo",1,2,-1
"Que nojo, é um criminoso!",1,2,-1
Que imbecil.,1,2,-1
Esse velho é nojento,1,1,-1
Aff misericórdia 😱 já está gaga... Ridículo 😠,1,2,-1
Asco!!,1,2,-1
Estas pessoas que tratam esse verme Silvio Sanntos ccomo caduco no fundo pensam como ele.,1,1,-1
Velho asqueroso 🤮,1,2,-1
Que horror,1,1,-1
Velho escroto!,1,2,-1
Ainda aplaudem uma carniça dessas...,1,1,-1
"Ele não está caduco, não! Ele sempre foi nojento!",1,3,-1
VERGONHA,1,3,-1
"Imundo, cadê o presidente de merda pra falar q tá errado?? Vai tomar no cu mano eu fico revoltada com vcs, com a sociedade q votou em bosta, em um saco de bosta",1,3,-1
Este lixo e igual ao ditador Bozo fdp,1,2,-1
Doente imbecil... que asco desse velho.,1,2,-1
"Velho idiota, queria que ele tivesse perguntado pra minha neta.",1,2,-1
Nojento,1,1,-1
Cadê o MPF?? Tv é uma concessão pública!!! Esse depravado não pode fazer da emissora e do programa dele o que bem quer e entende.,1,2,-1
Precisa amarrar este VELHO caquético junto com o 💩 do presidente dele.,1,2,-1
Alguém tem que tirar esse cara nojento do ar!,1,1,-1
Ridículo....Velho babao,1,2,-1
Interna essa coisa,1,3,-1
"É surreal uma coisa dessa, que bosta de justiça é essa que nada faz contra esse pilantra?",1,1,-1
"Esse velho tá ridículo já perdi todo o apreço por ele faz tempo , ele já se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder .",1,2,-1
"Nojo, ta passando dos limites",1,3,-1
Meu deus isso é nojento,1,1,-1
"Esses heróis da direitas são uns escrotos, doentes e perversos!",1,3,5
Nojo,1,2,-1
Absurdo!!! Nojo desse babão tarado.,1,2,-1
Ridiculo esse senhor,1,2,-1
"Homem nojento, sem limites!",1,2,-1
"Que coisa horrorosa, nunca teve conteúdo mesmo. Deprimente esse programa.",1,2,-1
"E a imbecil da mãe, ainda da risada.",1,2,-1
NOJENTO!,1,3,-1
"Tá gaga? Isso é abuso, demoro pra sair só ar.",1,3,-1
"Escroto ,nojento 🤮🤮🤮",1,2,-1
É muito absurdo isso!!! É imoral e criminoso sim... delito dos mais graves!tem que ser tirado do ar... da casa das pessoas esse infame! 🤬🤮😡,1,1,-1
Facista nojento amigo de BOZO.,1,1,5
Nojo!,1,3,-1
Nojo demais desse cara.,1,2,-1
Esse Sílvio santos é um VERME. U criminoso. Onde estava a VACA da Damares protetora da família. Essa pilantra não defende família coisa nenhuma.,1,2,8
Ridículo!!!!!,1,2,-1
Lula tá preso babacas!,1,2,-1
"Que palhaçada é essa, ridículo demais",1,2,-1
"Um ridículo, sem noção, doentio...e rir ...criminoso!",1,2,-1
Nojento,1,2,-1
Ridiculo,1,1,-1
Um vagabundo,1,2,-1
Nojo 🤢,1,2,-1
Repugnante,1,3,-1
Idiota,1,2,-1
"Isso é. O cúmulo da estupidez, da ignorância e da falta de respeito. Velho safado! Vá criar vergonha e redimir-se de suas brincadeiras maléficas!",1,2,-1
Acho que já passou da hora desse otário responder pelos desrespeito que ele comete... E ainda tem esses pais que colocam as crianças nessa situação por dinheiro ou por alguns minutos de fama ... lamentável,1,3,-1
Eu só queria que a Maísa desse um pé na bunda desse nojento! Uma rainha daquelas❤️,1,1,-1
"Cadê os responsáveis de preservar os direitos das crianças.... eu respondo indignada, que até mesmo os conselhos tutelares que poderiam fazer alguma coisa, não vão fazer, pois estão nas mãos da universal, igreja de corruptos e safados. É minha gente estamos indo de mal a pior....",1,2,7
Eu não consigo dar play no vídeo de tanto nojo que sinto!,1,2,-1
Já está caducou affff 🤑,1,2,-1
Cretino,1,2,-1
"Esse cara tem que ser calado, não podemos achar que seja senilidade, é um criminoso sem escrúpulos e sabe bem que está fazendo.",1,1,-1
Velho ridículo 🤢🤮,1,1,-1
Eca,1,2,-1
"Interditem esse velhote urgentemente e que a família assuma a emissora ou que a concessão seja passa à frente por pessoas mais competentes e responsáveis.O SBT já não faz mais programa para a FAMÍLIA brasileira com respeito como antes. Senor Abravanel,o senhor está sem noção.",1,1,-1
E ninguém processa esse nogento,1,1,-1
👹SILVIO DOIDO👈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,1,-1
Desequilibrado! Até quandoo?,1,2,-1
Ainda tem quem ache engraçado esse velho pervertido,1,2,-1
Aqueles tapinhas no braço da menina deveriam ser dado com muuuito mais força na cara desse BABACA!,1,2,-1
Faz parte do patriarcado brasileiro querem o que?? Homens nojentos que já veem meninas como mulheres.,1,2,-1
Ridículo!!!,1,1,-1
Perdedores.,1,2,-1
Náusea define,1,2,-1
2 safados!,1,3,-1
Dois inúteis só faltou o @cirogomes,1,2,-1
"Pqp , comunista fdp",1,1,5
Show de horror kkkkkkkkkk,1,1,-1
Ainda bem q nos livramos disso 🙏🙏,1,1,-1
Caiu em desgraça no PSL. TR CUIDA!@@,1,1,5
"Foto pesada slc, mais pesado que os quilo do condenado do lula",1,1,5
Você vai rir feito um condenado Haddad?,1,2,-1
COMUNISTAS! rs,1,2,5
Só vim ler o choro dos gado,1,1,-1
Dois pilantras.,1,2,-1
Aceitar comentários de Minions é de uma grandeza absoluta... só por isso tem meu voto eternamente,1,2,5
Cruz credo.,1,2,-1
Vagabundos,1,1,-1
Tranqueiras......,1,1,-1
Ele rouba tbm ?,1,1,-1
Que comunistinhas lindos 💜😆,1,3,5
Dois tipos sem graça!,1,1,-1
"Fernando, a Globo está negociando com demônios outra vez... mas, o que acontece... no MUNDO espiritual alguém está cortando a macumba da Globo🌶hoje um astronauta morreu... se comunique com os partidos de Esquerda do B' Dos BRICS... e fale o ocorrido🙏 Mahasiah Amém🙏 a Globo Biscate NÃO",1,2,7
Sem contar que a Globo Mandou Roubar a TV Cultura🌶🖤🦅,1,3,-1
Inútil ambos,1,2,-1
"Esse otario merece uma corretiva,,,vamos ver se é homem,, assim como é na língua,,, dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas,,,, não vpide comparar as oessiasy como se fosse da família dele!",1,2,-1
KD as mídias que defendem a mulher lá o ativismo na verdade só é válido quando e da turma petralha,1,3,5
"Não entendo essa democracia que um imbecil que escreve isso contra uma autoridade não vai preso, não é processado e eles falam tudo q querem e ninguém faz nada. Absurdo isso. Se existisse um",1,3,-1
Caralho!! Que jornalista desgraçado!!!,1,2,-1
"Vergonha o que fazem esses pseudos ptistas e permanecem impunes, isso é por que eles têm o STF, a câmara e senado ao seu favor, chega de canalhice.",1,2,5
Que absurdo meu Deus!!!! Na ditadura uma dessa neguinho ia pro xilindró... ninguém vai fazer nada???🥵🥵🥵🥵🥵🥵,1,2,2
Ridículo. Jornalista não é gente.,1,1,-1
"Muito bem respondido a esses carniceiros da imprensa marrom brasileira...o silêncio as vezes é melhor do que mil palavras ...basta ser bom entendedor .. globô bolixo,Uol e grupo",1,1,-1
isso não é imprensa isso é abutres e o pior de tudo que muitos aí estão sendo pagos com dinheiro público dinheiro vindo de ONGs e de facções políticas criminosas disfarçadas de partidos políticos Essa é a pior parte.,1,1,-1
"Divulguem o nome do jornalista, tem que ser levado a justiça, cadeia nele.",1,3,-1
"Que texto baixo, enojante. Esse pessoal da esquerda tá cada vez pior...",1,3,5
"Um babaca desse tipo tem a responder um processo sinistro, tirar até as cuecas de um miserável ordinário desses.",1,1,-1
Como pode tamanha falta de respeito !,1,1,-1
Imprensa podre a Ministra Damares é protegida por Deus,1,2,-1
"Da nojo de jornalista desse nível de escalão, será que ele tem mãe, irmãs etc. não sei quem é porque um lixo desse nem precisamos conhecer.",1,3,-1
Carta capital é super esquerdista comunista do mal.Somos todos Damares!!!!!!!,1,3,5
"Calem esses covardes, canalhas com trabalho! Avante Ministra Damares",1,2,-1
"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora.",1,3,8
"Repugnante essa matéria, esse indivíduo precisa ser processado!",1,3,-1
Que nível nojento chegou a imprensa esquerdopata. Tá na hora de descarregar processos em cima desses psicopatas,1,2,5
"De o nome desse imbecil, machista ,nojento, babaca 🤮🤮🤮, Sra MINISTRA, para q todas nós mulheres possa encher a caixa de mensagem dele de boas postagem esse jornalista idiota merece conhecer a força das mulheres. 🤬😡",1,2,-1
"Carta capital , revestinha de banca, sórdida!",1,1,-1
"Carta capital, revistinha de banca, Sórdida!",1,3,-1
Não gostei do teatrinho dela.,1,3,-1
Homem canalha! Sem vergonha #respeitaaministradamares,1,3,-1
vamos fazer alguma coisa... acredito plenamente q esse verme nao é humano...gostaria de saber o nome desse fdp,1,1,-1
"Ele ataca as pessoas com fama pra ver se aparece Ministra . Atacou o jornalista Augusto Nunes também, apoiando o outro canalha americano.",1,3,-1
A imprensa parece as vezes um judas.,1,2,-1
Tudo que esse babaca falou da nossa Ministra ele queria q fosse com ele.,1,2,-1
Esses bandidos vão pagar caro. Nossa ministra é uma grande mulher🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏,1,2,-1
Ridículo,1,3,-1
Maldita imprensa esquerdopata!,1,2,5
E esse verme q escreveu isso deveria ser punido..sem ética e sem moral..um verdadeiro imbecil .,1,2,-1
"Ministra, de os nomes pra que todos saibam quem são os covardes e mais, processe-os imediatamente.",1,3,-1
"Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição pública, para ver onde vc vai parar! Então porque não se faz nada quando ofendem o Presidente ou qualquer dos seus auxiliares? Como podemos aceitar isso?",1,2,-1
"Demônios esquerdistas, essa carta capital é a escória do jornalismo",1,2,5
Manda prender esse babaca!!!!🤬🤬🤬🤬🤬,1,2,-1
Chamar um vagabundo desses dd Horn,1,3,-1
"❤️Ministra Damares a Senhora é uma mulher linda em tudo e abençoada por Deus. Este ser abjeto tentou atingi-la com as imundices peculiares a ele próprio. Continue este exemplo de ser humano iluminado que irradia luz por onde passa quem não tem competência, não se estabelece que ele aceite logo, talvez doa menos.kkkkkkk",1,3,-1
Esses fdp que tinham que ficar em cela com esses criminosos que não vem uma mulher há tempos !!,1,1,-1
A esquerda precisa ser criminalizada no Brasil... São demônios! 🤮,1,3,5
Ainda ter retardado que da audiencia a um jornal lixo desses.,1,2,-1
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1,3,-1
"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal!",1,3,-1
Quem falou isso deve ser um global que não sai do armário 👊 e tem esse desejo👊 nessa hora que tinha que intervir aqui e botar um merda desse no pau. ...,1,3,4
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1,2,-1
Triste ouvir isso de uma mídia podre.....ainda assim vem um jumento perguntar se ela vai sair do governo. MEU CARO JORNAZISTA vai pra pqp.,1,3,-1
"Esse texto faz parte de um plano vídeo de um grupo desesperado ávido por poder com uma dor profunda por ter perdido nas urnas. Um imbecil desses merece um belo processo e uma bela investigação devastando sua vida. Se um jumento desses se diz jornalista, lastimo pela categoria profissional denegrida por esse infame.",1,3,-1
"Por favor processe este escroto,energúmeno,mente capto,imundo,porco,em nome de todas as mulheres do Brasil,processe!",1,2,-1
E os diretos morais? Processe os canalhas!,1,1,-1
"É triste esses esquerdistas são doentes e as faculdades estão formando jornalista sem ética,caráter e pudor. 💩👺",1,2,5
Deviamos invadir o insta dessa carta capital e falar oq eles merecem ler...senti a angústia nas palavras da ministra Damares...estou contigo,1,3,-1
"Falta de RESPEITO ao extremo desse infeliz repórter, JUSTIÇA nesse IMBECIL",1,1,-1
"Vagabundo, safado.",1,1,-1
"Ministra, filha do Deus altíssimo! Não te assuste com esses filhos de satanás! Eles só fazem barulho. Vc está coberta pelo sangue do cordeiro! Fica na paz querida! Deus, só dá grandes lutas, pra grandes guerreiros! Não te mandei Eu, ???? Seja forte, não temas!!!!",1,1,-1
"Não há limites para a desumanidade da mídia e de opositores do mal, perversos, cheios de raiva e deboche. Felizmente ela tem muita fibra...se recompõe e volta a ser incisiva e justa onde é necessário. A esquerda pode TUDO, até mesmo atos criminosos, os outros NADA.",1,2,5
"Gente isso é muito criminoso! Chega! Tem que punir sem dó esses indivíduos de almas estragadas, para que o mal não contamine outras pessoas ... #SomosTodosDamares",1,1,-1
Dá até náuseas ouvir um texto desse jornalista/vagabundo!!!,1,3,-1
Qual é o nome do jornalista ??? Tem que divulgar para fazer passar vergonha !!!,1,1,-1
"Meu Deus que vergonha desses seres travestido de humanos! São as crias de lucifer, não tem outra explicação...",1,2,7
Cadeia pra esse reporte de meia tigela.,1,1,-1
E a AGR vai fazer alguma coisas com estes canalhas que atacou a ministra com estas palavras?,1,3,-1
"A Ministra é especial , mulher de Deus !!! Tudo que é dr Deus o demônio odeia ! As pessoas que te atacam são instrumentos do demônio pra te atacar !! Descansa no Senhor 🙏",1,2,-1
"Que terror! Meu Deus que desumanidade!!! Como um homem desse ainda é ouvido por alguém!? Como alguem ainda ousa contratar seus servicos de jornalista ainda!? Só alguém q é igual a ele, alguém asqueroso, desumano e cristofobico! 😡😡",1,2,-1
Jornalista asqueroso 😠😠😠,1,2,-1
"Jornalistas babaca, somos todos Damares❤️❤️❤️",1,3,-1
"INDIGNADAAAAAAA!!!!! onde vamos pararrrrrr.... Ahhhh se fosse com alguma petista, tipo Maria do Rosário!!! A imprensa marrom já teria feito a maior balbúrdia!!! ISSO TEM QUE ACABARRRR!!! 😡😡😡😡",1,2,5
Que absurdo eu colocaria esse verme na cadeia para aprender respeitar pelos menos a mãe dele pq quando ele ataca uma mulher ataca a sua propria genitora que vergonha de um ser deplorável desse 😠😠😠😠😠😈😈😈😈,1,2,-1
a hipocrisia e uma coisa terrivel que faço questao de jogar na cara dos esquerdopatas q atacam a ministra,1,3,5
O idiota deu a faca e o queijo a Ministra Damares para processa lo. Kkkkk,1,2,-1
"Tenho engulhos desse covarde,canalha que escreveu isso sobre essa Ministra tão querida e Amanda!ele devia ser entregue a nós mulheres, nós íamos fazer uma massagem daquelas nele😂💪",1,3,-1
QUEM ESCREVEU ESSAS IMUNDÍCIES REPUGNANTES E QUEM AS PUBLICOU DEVERIAM SER ENTREGUES AOS VINTE PRRDID,1,1,-1
Jornalistas são uns abutres que cruzaram com porcos. Chafurdam na lama sempre.,1,3,-1
"Quanto absurdo, ai isso as feministas de esquerda devem achar bonito",1,1,"5,8"
Todas essas agressões morais contra nossa ministra Damares é porque ela está fazendo o certo e incomodando muito esses esquerdopatas sem caráter. A imprensa marrom-cocô só se manifesta em apoio a quem é contra o governo. NADA JUSTIFICA agressões contra mulheres e menos ainda contra a melhor ministra de direitos humanos que o Brasil já teve! #somostodosdamares,1,1,5
A esquerda è desprezível!! 😤😕 sem mais...,1,3,5
Meu respeito a Ministra. Toda minha indignidade a imprensa suja que a persegue e a violenta.,1,1,-1
Jornalista filho do demônio comunistas,1,1,5
A minha mais profunda empatia e solidariedade a nossa ministra. Pq esse bosta se acha no direito de sair ofendendo as pessoas desse jeito?,1,2,-1
"Assustador 😱😨😥😔 espero que não fique por isso mesmo, ela precisa processar esses vermes, além do canal de denuncia, que é uma excelente ideia, tem que processar e endurecer as leis e o cumprimento delas.",1,2,-1
Canalha demais que faz uma coisa horrível dessa contra quem quer que seja,1,1,-1
Porque a Imprensa nojenta não se manifesta ! A esquerda pode tudo né!? 😠,1,1,5
Esta Carta Capital é um lixo !,1,3,-1
Meu Deus..que abominável este jornalista..força ministra estamos com a senhora.😭😭,1,3,-1
Parte da mídia brasileira.e podre de moral e ética.estrume da da noticia,1,1,-1
"Uma vergonha! Isto nem ė um jornalista ė uma psicopata prestes a sair do armário pois ele se expressa em seus textos, e se brincar um estuprador em potencial !",1,1,4
"Que e esse imundo que se acha o moralista da conduta correta ? Deve ser um daqueles imorais , se achando gente do bem . No fundo tem medo de abrir a bíblia pq sabe o que faz da sua vida e pecaminoso . Pobre coitado de espírito e amor ao próximo .",1,2,7
A imprensa está podre.,1,3,-1
Imprensa globalista se superando... inescrupulosos.,1,2,-1
"@cartacapital papel ridículo que se prestam, cabe um processo nesse jornalista asqueroso, doente e nojento!",1,1,-1
Quem foi o imbecil que esvreveu isso??,1,3,-1
"Imprensa lixo, ela não deveria dar mais entrevista. Nojooooo",1,3,-1
Nosso Deus 😢🤦 coitada. Que falta de respeito com ela e gratuitamente ainda. Essa esquerdalha é muito suja! Esses jornalistas lixos são realmente de QUINTA CATEGORIA.👎😠😠,1,3,5
"Quem falou isso nunca foi e e nunca será um homem, não passa de um rato de esgoto, safado, que joga baixo, como todos da esquerda, e nao importa de qué lado ele é, se de directa ou esquerda, a ofença e o crime continua siendo o mesmo, afina se isso fosse sito contra esses imundos comunistas, pois eles TEM o total direito de ofender quem quer que seja, mas jamais podem ser ofendidos.",1,1,5
"Esse safado tem que responder por isso em justiça, ou então na porrada sendo pegue nas ruas.",1,1,-1
"Essa nossa imprensa, me dá asco!",1,1,-1
Imprensa imunda 🤦🏻‍♀️,1,2,-1
Coloca esse jornalista dentro dessa cadeia.,1,2,-1
"E as feministas mal amadas ? Defendem interesses, não a mulher, a irmã. Falsas ❗️",1,2,8
Eu só digo a Sra e maior que esses idiotas fique em paz seu coraçăo é puro,1,3,-1
Ridículo estes jornalistas pervertidos. Processo neles Ministra.,1,2,-1
"Essa imprensa suja e nojenta, criminosa, estamos fartos disso.",1,1,-1
Canalhas mil vezes 🤮,1,2,-1
"@cartacapital é um lixo, não serve nem para usar como jornal para meu cachorro fazer xixi. 🤮🤮🤮",1,3,-1
Tem que processar esses vagabundos. Não pode ficar só no embate. É processo e pronto,1,2,-1
Marginal safado🇧🇷🇧🇷,1,1,-1
Processo nesses nojentos! #somostodosdamares,1,3,-1
Essa revista é de quinta categoria. Não serve nem pra fazer fogueira.,1,1,-1
"Temos uma imprensa podre, jornalistas doentes mentais e sem capacidade de exercer e escrever artigos, uma vergonha, próprios jornalistas ficarem contra seu próprio país.",1,2,-1
"Revistas de políticas brasileiras tipo a carta capital são uma vergonha nacional, lixo puro.",1,1,-1
Nossa muito triste e estúpido temos q nos unir contra esses covardes 👏👏👏,1,3,-1
"Parece que se a mulher é de direita ela não merece ser respeitada segundo jornais de Esquerda, pois não hesitaram nem um minuto em massacrar a mulher",1,2,5
"🇧🇷Isso não é um jornalista, muito menos o homem, mas sim um Cafajeste, um crápula, um bicho ruim de chifre, rabo e garfo na pata, um ABUTRE com um microfone na mão. Acho que nem a mãe dele ele respeita como mulher. Quanto mais senhora !",1,3,-1
"Aos idiotas, O SILÊNCIO!",1,3,-1
"Pro essa esse ordinário,pois deve ser acostumado a agredir as mulheres ,e nao to falando so de direita não,são todas as mulheres em geral,ou as de eskerda axam qe só tem mulher de direira?qe so mulheres de direita sofrem agressão?ele é um monstros disfarçado de jornalista,imagino oqe nao fala pra esposa(o)/namorada(o) seja la oqe for..espero qe nenhuma amiga ou familiar desse cidadão passe ou tenha passado por isso..",1,3,5
Misericórdia quem foi esse monstro que escreveu isso um ser podre dessa tem que ser preso retirado urgente da sociedade isso é um monstro,1,2,-1
É um canalha tem que pagar por isso!,1,3,-1
"E os esquerdopatas! Chamam essa mulher de maluca, com certeza é inveja.",1,1,5
#SOMOSTODOSDAMARES TJM ESSE CARA EU QUE é COLEGA POIS SE ELE FALA COM A SRA OU MELHOR ESCREVE MERECE MUITA PORRADA CADEIA PRA ELE SER ESTRUPADO POR UM MONTE DE CARA LÁ DENTRO,1,3,-1
Jornalistas podres👏👏👏👏🇧🇷🇧🇷🇧🇷 #somostodosdanares💓💓💓❤️,1,3,-1
Isso é um endemoniado dos infernos,1,1,-1
Eu não consigo acreditar que a canalhice deles atingiu níveis tão grandes 😓,1,1,-1
"Essa imprensa imunda precisa ser varrida desse país, e isso está nas nossas mãos.",1,3,-1
Gente esse cara deve envergonhar até o Satanás.,1,3,-1
Palavras de um CANALHA,1,1,-1
Amada Damares coloca o nome deste maldito que assim podemos saber quem o monstro!!! Mas também ele que vá pro inferno !! O IMPORTANTE É QUE NÓS ESTAMOS COM A SENHORA!!!!! GRANDE MINISTRA DAMARES!!!! A cada dia que passa mais Apaixonada pelo Nosso Presidente Bolsonaro e sua Equipe!!!!!🇧🇷❤️😍,1,3,-1
Nojo desta imprensa!,1,2,-1
Ainda tem gente que defende um ser insignificante que escreve algo assim. #somostodosdamares. Esse energúmeno só possui merda na cabeça 😡,1,1,-1
"Um absurdo o que esse porco disse!!! Tenta colocar seu posicionamento com palavras inacessível à maioria das pessoas seus pensamentos inapropriados, agressivos e tóxicos. É um porco, irresponsável e intolerante.",1,2,-1
#cartacapitallixo #cartacapitallixo,1,1,-1
"Esse que falou tal imbecilidade a nossa amável ministra, não",1,2,-1
"São as HIENAS carregadas de perversidade e sem nenhum respeito por pela dor dos outros. Não passam de lixos! Não merecem se quer,um segundo de atenção. Tamo com a senhora,ministra! Estamos do teu lado sempre. 🙏",1,1,-1
"Esse tal que falou tamanha asneira a nossa amável ministra, não é um homem e sim animal! Que Deus te abençoe nessa grande missão!",1,3,-1
A pessoa que escreveu isso é um ser em trevas. Jesus tenha piedade desse ser que um dia vai chorar lágrimas de arrependimento.,1,1,-1
"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",1,2,-1
"Eu me pergunto: por que não processam e tornam a vida destas publicações um inferno ? Isso é um absurdo regular ! A senhora tem direito a defesa, ministra ! Pese e enquadre esse marginal na lei que ampara a mulher. Agora ...se não fizer nada, a gente vai ficar passando raiva e se solidarizando com a senhora e vai acabar aí. O imbecil vai acabar saindo vitorioso por que nada lhe aconteceu. Isso é impunidade ! Deus a abençoe e a fortaleça.",1,3,-1
"Repugnante essa #ImprensaLixo #MidiaLixo 😤😤 isso não pode ficar assim, se trata de um ataque pessoal... a Ministra!",1,1,-1
Mal feitores vão queimar no zinfa dos infernos 😈raças de viboras,1,3,-1
"Gente pelo amor de Deus,cadê as feministas que só serve pra colocar os peito de fora,porque a ministra não denuncia esse jornalista,ele a ofendeu profundamente,na verdade ele ofendeu nos mulheres,que absurdo como um homem pode falE isso pra uma mulher,ministra,se não começar a denunciar esses lixos,eles vão achar que pode tudo,eu me senti agredida com o que esse Leco escreveu.",1,1,8
que horror! cadeia é pouco pra esse canalha!,1,2,-1
#midialuxo nojo dessa imprensa nacional,1,3,-1
M I S E R Á V E I S. Vão pagar muito bem... a hora de cada um vai chegar. #somoatodosdamares,1,3,-1
Puta merda... como são covardes! Tem que ser muito forte pra aguentar isso!😢 Essas pessoas não valem nada... Força ministra!,1,3,-1
Quem escreveu isso contra a ministra é uma verdadeira bicha enrustida um tremendo cortador de madeira pelo furico 💩💩💩,1,3,4
Tem que pegar o cara que escreveu essa matéria a dar um taca nesse verme. Bater nele até ele perder o caminho de casa. Prender ele na cadeia e quando soltar ele lá dizer que ele estuprador aí ele vai aprender a dar valor.,1,2,-1
Essa é a mesma mente de um canalha chamado lula. É assim que ele ver uma mulher,1,2,5
"Liga Ministra a Senhora tem a admiração e respeito dos brasileiros de bem, processa este crápula nojento 🤮🤮🤮🤮🤮",1,2,-1
Nojentos 🤮🤮🤮🤮,1,2,-1
Meu DEUS que horror... Esses esquerdopatas não sabem o que é RESPEITO.,1,1,5
Que nojo ver esse cachaceiro falar,1,2,-1
Tem q prender logo esse marginal,1,1,-1
Louco de pedra. Tem que voltar pra cadeia URGENTE.,1,3,-1
Lula você é um agitador você tem que ser preso novamente o quato antes,1,2,-1
Fdpta,1,3,-1
Com o pode este criminosso vagabundo ainda não está presso,1,3,-1
É um canalha esse Lula,1,1,-1
🐭 rato descarado 🐭🐭🐭,1,2,-1
Nós é que não vamos desistir. Vamos continuar nossa luta. Essa corja nunca mais vai ter o governo nas garras. Desistir jamais!!! 🇧🇷,1,3,-1
"Num primeiro momento eu fiquei triste com a liberdade do molusco, mas agora vendo isso fico feliz pois o povo brasileiro vai entender o que representa este partido. Um líder que pede a violência! Que chama um herói nacional de bandido. Enfim, o tempo irá dizer. Molusco se arrenda diante de Deus, só ele tem poder para salvar sua alma.",1,1,5
"Bandido corrupto pensando dar lição de moral com sua imoralidade, verdadeira desgraça para a humanidade. Acorda pequena parcela de cegos e surdos que não enxergam a realidade. Segue firme nosso Presidente Bolsonaro.",1,1,-1
A única coisa que o lula irá provar ..é como se apodrece na cadeia estando milionário de tanto roubar o povo. 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,2,-1
Governo de milícia 🍊,1,3,-1
Lulalixo da nojo de ouvir esse cara😁😁,1,3,-1
"Este cara é um escroto, a besta fera em pessoa",1,3,-1
MEU DEUS!!!!! ESSE VERME TEM QUE SER CALAFO.,1,1,-1
"Essa besta humana é o câncer do País, tem q voltar p jaula, urgentemente! E viva o Presidente Bolsonaro 🇧🇷😎🙏",1,2,-1
Segura o velho que ele tá vedado.,1,3,-1
"Lulaladrão NAO me impressiona, mas esses HaddadS todos com conhecimento e estudo ouvir essas boboseiras e apoiar é de dar nojo!!! 🤑",1,1,5
Sou Bolsonaro e nao abro mão nunca. Você é im bêbedo e presidiário solto Sr Lula lavagem cerebral dos pobres de espírito. 😡,1,3,5
Somos todos Brasil! Lula aqui não tem vez! Psicopata,1,3,5
Psicopata cara de pau Usa as pessoas carentes pra roubar a nação,1,2,-1
Como pode ser tão canalha esse Lula,1,3,-1
"Idiota, luladrao",1,2,5
"Continua a ser o canalha terrorista de sempreSe tivessem colocado esse molusco numa prisão comum, duvido que estaria tão o mesmo👹👹",1,2,-1
"Incitando o ódio a guerra ,vandalismo😒",1,3,-1
"Esse Lula é um doido, não consigo entender que tem gente que ainda da crédito.",1,3,-1
Canalhas,1,3,-1
"Louco, louco. Prendam esse desequilibrado comunista",1,1,5
Lula canalha,1,3,-1
"Esse ta precisando ser internado , isso não é normal ..lixo",1,2,-1
Esse carniça 💩👿 podre 💩💩 🐍🐭🦑🚓🚓🚓🚓 essa praga tem fome de poder e dinheiro público roubado.,1,2,-1
"E se eles fizerem isso conseguem, porque do outro lado escuta tudo com medinho. Bando de bunda mole!!!!!",1,3,-1
Trancafia esse baderneiro de novo.,1,3,-1
"É só isto que ele faz o discurso , é um cretino ladrão corrupto 🤮🤮🤮👎",1,1,-1
