id,comentario,anotator1,anotator2,anotator3,label_final,links_post,account_post
1736,Pastor de bosta,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1737,Gângster cafona raça ruim essa figura patética,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1738,"Feliciano é um asqueroso, ser desprezível 🤮🤮🤮",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1739,"Meliante de quinta categoria, mentiroso, falso, facínora, tosco, vulgar, parasita da sociedade, pária do congresso, rêmora oportunista oca, hipócrita e podre obcecado pelo poder.",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1740,"E o PSL como sempre, envolvido das atrocidades .",0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1741,Todo sofrimento pra corno é pouco,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1742,Esquerdopatas são uns vermes ainda não catalogados,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1743,Parabéns pastor toma vergonha na cara,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1744,Essa disgraça fala que é pastor..,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1745,"@marcofeliciano e aí anjo, só pra eu entender: vc acha que é troxa assim, ou só seu eleitorado mesmo?",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1746,Baita bichona enrustida.,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1747,"Que asco. Uma pessoa assim não pode exercer a política, porque não contribui para o debate. É só atraso.",1,1,0,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1748,Sou evangélica e me envergonho desse lixo que sai por aí pregando que Deus é amor e incentiva o ódio.#ForaFeliciano,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1749,Mas nenhum presta que barbaridade .,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1750,Marco Enrustiano.,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1751,Babacas como Luciano HAng financiam essa palhaçada,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1752,Ser mais escroto.,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1753,Todos bandidos.,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1754,"O povo tem que se reunir e expulsar esses pastores estelionatários das suas igrejas , bandidos.",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1755,Tá uma bagaceira esse país de merda🤮🤮🤮🤮🤮,0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1756,"Cidadão de bem, igual@muitos por aí... nojo",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1757,Imagine se esse sujeito não fosse cristão evangélico?,0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1758,Que Jesus esses demônios seguem! Meu Deus salve nosso país de seres demoníacos como esse Marco Feliciano!😈😈,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1759,"Socorro, Socorro, que sistema imundo?",0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1760,Tira o nome de Jesus da boca.,0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1761,"Um falando asneira de lá e o outro disseminando discórdia de cá. Tudo farinha só mesmo saco, se gritar :Pega ladrão, não fica um meu irmão.",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1762,UM CRETINO COVARDE QUE NÃO TEM CAPACIDADE DE ENCARAR O RANDOLFE...,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1763,"Gentalha hipócrita! Fariseus, falsos cristãos! Quadrilheiros",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1764,As atitudes e a postura é de um pateta. Kkkkk,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1765,Por isso que a educação está uma completa negação... Parabéns aos envolvidos,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1766,Dois retratos do fracasso educacional do país!,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1767,Babaca. #BOLSONARO2022😍,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1768,"Esse tal de valente fracassado , aí de cima, é um completo imbecil. apenas mais de 40 mil pessoas discordam dele kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1769,Um grande perdedor!,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1770,Paulo Freire era tão bom que nenhum país no mundo copiou seu modelo de (des)educação! Esquerdista safado!,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1771,Sem dúvida os grandes educadores por isso que estamos entra às piores escolas do mundo. Horrível,1,0,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1772,Não esconda seu mau caratismo em cima de profissão como essa ! Inútil.,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1773,Deus nos livre desse mal!!!,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1774,Ate hj não entendo como elegeram um idiota daquela ao invés de um.homem culto como este,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1775,Petista liberal ! Pqp!,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1776,"Não sei quem é mais inútil, o retrato do Jaiminho ou Paulo Freire ?",1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1777,Vc é a prova da lástima que a educação do Brasil está.,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1778,"Rascismo, cabecario e cacar mandato🎆🎆🎆🎆",1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1779,Aproveite a nave e vai p inferno! Leva seu amigo junto,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1780,"Professor burro, dá zero pra ele",1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1781,"Sabe nem escrever direito, professor jumento",1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1782,Múmia paralítica 😅😅😅,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1783,Meu presidente 😅😅😅😅 presidente do caralho à 4. Bando de idiotas. Idiotas úteis,1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1784,"precisava voltar a ter aula, pra aprender escrever “rascismo” do jeito certo... vc eh uma mentira",1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1785,duas fotos as mesmas merdas,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1786,Ainda não acredito que trocaram um professor por um miliciano 🤦🏼‍♂️🤦🏼‍♂️😔😔,1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1787,"E aí, bando de hipócritas :)",1,1,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1788,"🐷🐷🐷 Acho q vai ser o último mandato, se perdeu, egocentrismo. Vá com Deus p/ PSDB 🐷",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1789,"Desculpem as pessoas de bem pois o resto não me importa, minhas fezes valem mais que os dois juntos.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1790,Essa coisa esta se achando demais,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1791,"Gente, para que ta dando vergonha. Não defendo nenhuma das duas, não elegi nenhuma das duas, mas respeitem-se pelo amor!!! E vão trabalhar por quem elegeu vocês. Esses mimimi ta nojento!",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1792,"Mais gente vc não é a pessoa do vídeo dizendo que a Havan era da filha da Dilma quando vc sabia que a mesma era do seu amigão , não entendo de verdade o sujo falar do mal lavado , esse é o Brasil ! Podre",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1793,👎👎👎👎👎👎👎👎👎👎👎👎👎LULU e JOYCI TRAIDORES JUDAS SATANÁS,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1794,Eu acho Carla que isso é baixaria não combina com vc coloca no seu lugar e fica na sua,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1795,@carla.zambelli enquanto vc apoiar meu presidente eu tô contigo... E joissi q se lasque para lá com as paranoias e mentiras dela!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1796,Vcs tem rabo preso com a @joicehasselmannoficial por isso não conseguem parar ela. Com certeza vcs tem acordos inacabados. Política continua suja.só mudou da esquerda pra direita. É uma pena,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1797,Voce é horrível não se cansa de querer passar a rasteira na Joice ...... inveja mata sabia Carla !!!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1798,Carla Zambelli você é ridícula...grow up,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1799,NADA de karma... É mal catarismo mesmo...,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1800,Sem comentários pra essa Dona.... Fora pig!!!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1801,"Com certeza Luladrão ministro. Ministro miojo, só durou três minutos no cargo",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1802,"Joyce não terá uma vida apolítica longa, não podemos nos enganar mais com ela, é muito ganância por poder, os próprios colegas não confiaram nela.",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1803,PSL esta virando um galinheiro,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1804,🤣 Bem feito pra essa escrota🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1805,"Senhores Nobres Deputados, que tal pensar mais no povo que vos colocou nesses tronos , do que essa guerra por vaidades que estão todos envolvidos? A Nação Brasileira Agradece!",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1806,"Brigando por mamadeira, e muito mimmimimimimimimi, tanta coisa para aprovar @carla.zambelli tanta coisa E vcs nessa safadeza, parece jardim 3 da escola..",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1807,Esses aí são cachorro morto que ainda morde...precisamos ter td cuidado com o que vem do capiroto,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1808,Um horror esse Ser traidor de uma Nação por arrogância e egocentrismo🤮😡,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1809,A máscara dessa traidora Joice Falsemam durou menos,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1810,"@joicehasselmannoficial TOLA, MESQUINHA E ARRUINADA.",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1811,Tem que ser muito Asno para aplaudir um TAXADOR desse,1,0,1,1,https://www.instagram.com/p/CzZ4P7XxW2b/,Fernando Haddad
1812,A 🐷 chora kkkkkkk chora ódio kkkkkkk,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1813,"Uma é traíra, a outra inejosa",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1814,Ridícula essa briguinha de vocês . Será que daria para crescer e voltar a trabalhar pelo Brasil ???????????,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1815,A Joice esta igual o MULEQUE NEM-MEM 🤣🤣🤣🤣,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1816,#DEPUTADADECEPÇÃOTRAÍRA,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1817,#LulaEmPresidioComum #JoiceNuncaMais,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1818,Essa zinha aí é TRAÍRA,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1819,"lula na prisao, lula é ladrão",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1820,"Nossa Carla que ridículo essa briguinha de vcs qdo vai acabar o recreio na creche de saco cheio com vc é com a Joice, deveriam estar unidas pra derrubar de vez o PT é ficam de briguinha boba",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1821,"Joice traíra, vai tomar no cú",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1822,"Dois ridiculos😊😊😊😊, se manca",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1823,"Vergonha, vergonha!!",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1824,Joice tem que ser relegada ao ostracismo,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1825,Dois mmmm farinhas do mesmo saco,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1826,🤣🤣🤣🤣🤣🇧🇷🤝 ela ainda não viu nada. Sentirá muito essa senhora horrível no futuro bem próximo.,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1827,Pepa Pig ou Pinguço?,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1828,"Briguinha feia mesmo. Deviam agregar pessoas e não fazer o contrário. Mas sabemos que qqr tentativa de colocar isso na cabeça de vocês vai ir por agua abaixo. Ate onde sabemos vocês só são diferentes do pt no nome e não estão envolvidos em corrupção, mas saiba, só isso não bastará. PSL me dececionou demais. @carla.zambelli",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1829,Tudo farinha do mesmo saco.Nao importa o tempo é sim a traição.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1830,Joice a traidora,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1831,Dois crapulas ai ela e ele,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1832,"Triste ver essa cachorrada entre vocês que eram tão amigas e lutaram tanto pra tirar esse país das mãos do PT. A entrada de vocês na politica foi um erro, que decepção vocês duas.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1833,Vcs @carla.zambelli e @joicehasselmannoficial estão parecendo duas meninas mimadas... vão trabalhar que é pra isso que colocamos vcs aí e pára com essa palhaçada!!!,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1834,Lider miojo kkkkkk,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1835,Carla seja superior não de ibope para essa traíra!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1836,Como defender vocês perante eleitores de Bolsonaro?! Parecem crianças birrentas! Aff credooo!,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1837,Isso tá tão feio. Vocês deveriam fazer um conclave do psl. Se trancarem em um quarto e só sair de lá quando os que sobrarem tiverem algo decente pra seguir. O psl era ruim quando era só ua legenda de aluguel e agora ficou pior ainda com deputados imaturos. O PT agradece.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1838,Duas BOSTAS humanas,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1839,"No Brasil ñ pensou, e sim na sua pessoa. Patriota de bosta",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1840,@carla.zambelli SÓ DIGO UMA COISA... O BRASIL TÁ MUDANDO! TRAIRAGEM #NÃO COMBINA COM FIDELIDADE!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1841,"😂😂😂É porque a Pepa tem o mesmo espírito ruim do Mula! Deus não ajuda a ficar no alto,a ficar bem,tá sempre se l@scando!Minha mãe dizia: Quem muito quer nada tem! É o caso dela e do Mula! Beijão pra vc Carla! Estamos com vc e os bons do Congresso!🌷😘",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1842,"@carla.zambelli eu gosto do seu trabalho e adimiro você, o melhor remédio ignore a Joicehasselmann, ela não merece perda de tempo com ela, já está acabada!!!",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1843,O que é dela tá guardado,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1844,Essa mulher é perigosa e só olhar pra perceber...,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1845,Não vamos comentar sobre esse ladrão FdaP apenas jogar Pedras,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1846,"Essa megera vulgo joice, foi a maior decepçao que tivemos,se elegeu ela e mais de 200 deputados, senadores, governadores, graças ao Bolsonaro.Eu defendia ela em tudo,graças a DEUS,ele revelou quem é essa oportunista, esmoleira de votos ,nossa empregadinha subserviente é. É piada ela querer concorrer a presidencia da republica kkkkkk,com o Bolsomito ou quem ele indicar .",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1847,Joice é uma judas. É o mal de todos esquerdistas,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1848,😂😂😂😂😂😂 Pepa só está dando tiro no pe... kkkk,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1849,É isso mesmo Carla...de traíras nós já estamos saturados.,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1850,Ess joice é traidora mesmo ganhou nas costa do presidente e agora traiu,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1851,"Vamos trabalhar? Ficar de picuinha não vai ajudar o Brasil, esquece essa cobra e siga em frente.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1852,Vagabunda! Joice safada!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1853,Joice cada dia mais louca,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1854,"Carla, seja maior do que isso, por favor. Já está ficando ridículo. Comparação exdrúxula! O Brasil tem coisas mais importantes pra serem debatidas.",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1855,"Pra mim é coisa de bandido mesmo! Um ladrão e a outra, traidora! Os iguais se juntam... nesse caso se atraem! Kkkkkkk",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1856,Todos os podres querem ser lider. Inclusive os filhotes mimados. O respeito entre voces nao existe.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1857,Desiquilibrio total.,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1858,@joicehasselmannoficial cada vez mais desacreditada. Mais falsa que 3 reais,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1859,"Achei foi pouco...pra essa Joice,os inimigos de Bolsonaro, Deus vai abater um por um e contra o Poder de Deus não há defesa!",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1860,Dois pombo sujo! Safados...,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1861,"Joice já foi tão querida pelo povo brasileiro , e agora está tão desprezada! É lamentável!",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1862,Duas fraudes. Morram!!!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1863,So colhe o que planta.se eu fosse ela mandava exorcisar seu gabinete,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1864,Herdou a desgraca,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1865,A liderança da @joicehasselmannoficial na Câmara durou menos que um X Burguer😂😂😂😂,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1866,Ótima! Kkkkk essa cobra hopócrita,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1867,Que os 2 vão para o raio que os parta.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1868,"Os dois babacas traidores do povo de bem ,dois inúteis",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1869,Enlouqueceu essa Joice!! Quanta prepotência arrogância dessa Joice.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1870,Os dois não prestam,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1871,"Carla tem que deixar a traidora de lado e não perder o foco. Nossa missão é lutar juntos pelo um Brasil melhor e justo. Não se ocupe com postagem desnecessária, onde menciona pessoas que não acrescenta nada Luladrão e Joice tem que ficar no passado. O negócio é # aliança pelo Brasil.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1872,🤣🤣🤣🤣🇧🇷🇧🇷🇧🇷🇧🇷#joicetraidora,1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1873,CHEGA DE TANTA CORRUPÇÃO TANTA ROUBALHEIRA TANTA INCOMPETÊNCIA TANTA MALDADE TANTA FALSIDADE,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1874,"Que absurdo, essa Joice é uma vergonha.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1875,"Com sempre, Lula só perde, o que NUNCA ganhou..... kkkkkkkk",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1876,Mostre o seu trabalho e esforço e seja leal ao povo que te elegeu e larga essa TRAIDORA pra lá com as baixarias dela .,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1877,"As máscaras caindo, espero que o povo esteja acompanhando.",0,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1878,"Ao exorcizar a sala, os capetas só deram “meia-volta” ... 🤣🤣🤣🤣",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1879,joice traidora,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1880,Como ela pode fazer isso? Muito falsa,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1881,"joice vai tomar no cu, cretina traíra",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1882,Tá surtando!!!!!,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1883,"Não discute com esquerdista, são sem noção",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1884,#LulaVaiMorrerNaCadeia #JoiceTraidora #JoiceCorrupta #JoiceContraoPovo #JoiceOportunista #JoiceForaDaPolitica,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1885,"Dupla personalidade... ou desequilibrada mesmo... 3, 2, 1... hauahuahaua",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1886,"Tá mais pra demônio, mesmo.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1887,"Essa raca ordinaria nao tem o que fazer. Ganham uma fortuna as custas do povo. Ademais, dona Zambelli. A Joice defendeu o Bolsonaro em muitas ocasioes. Voces sao uns vadios desocupados que perdem o tempo fazendo provocacoes o tempo todo.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1888,"Maior traidora que já vi, depois do ladrão.",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1889,Joice mente tão bem que até mesmo ela acredita na própria mentira. Triste fim. Triste 😔,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1890,Essa baixaria que vc está fazendo me faz ter uma certeza: igual ou pior que ela!!!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1891,"Que bom que,as máscaras estão caindo rápido.",0,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1892,Só que Carla você tem princípios e não se vendeu desta forma vergonhosa.Não se compara você a está traíra,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1893,"Essa Joicehasselmannoficial é muito infantil 🤦‍♀️!Só dando tiro no pé,o Eduardo deveria se candidatar para prefeito de São Paulo aí ela iria ver o que é mexer com direita RAIZ como ela mesma diz..uma surra de votos!",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1894,"Difícil, pai e filha mal caráter....",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1895,Maldosa heim kkkkk😂 putona,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1896,Tá explicado! Traíras do Brasil! Tá no DNA 💩🤮,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1897,"Lembrando q o caráter da zambelli não é o mesmo na loyce, é diferente, zambelli tô contigo, Joyce é traíra",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1898,Apoiado @carla.zambelli tudo farinha do mesmo saco!!,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1899,"Tudo de mesma LAIA, farinhas do mesmo saco. Esse maracutaia, aaah não mala_ falha. OPS !! MALAFAIA TEM QUE IR PRO XILINDRO",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1900,Quem é gleisi pra criticar ? Vc lá tem moral pra isso ? Vc veio do berço da corrupção .,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1901,Joice é uma VERGONHA.,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1902,"@carla.zambelli . @joicehasselmannoficial Essa vergonha é o dia todo, vocês parecem duas adolescentes, vão trabalhar, foi pra isso que o povo as elegeu..",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1903,Cada dia mais Gorda!😂😂😂,1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1904,#forabolsonaro corrupto canalha,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1905,São duas cobras. Prontas para dar o bote,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
1906,Mas a Pepa é fichinha perto do Dick Vigarista !!! \o/ \o/ \o/,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
