comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
Esse velho é nojento,1.0,esse velho é nojento,['esse velho é nojento'],['esse velho é nojento'],Esse velho é nojento,https://www.instagram.com/p/B3R0XMrAt7g/,Esse velho é nojento; 
Aff misericórdia 😱 já está gaga... Ridículo 😠,1.0,ave maria misericórdia já está gaga ridículo,"['já está gaga', 'ridículo']","['já está gaga', 'ridículo']",já está gaga; Ridículo,https://www.instagram.com/p/B3R0XMrAt7g/,já está gaga; Ridículo; 
Estas pessoas que tratam esse verme Silvio Sanntos ccomo caduco no fundo pensam como ele.,1.0,estas pessoas que tratam esse verme silvio santos como caduco no fundo pensam como ele,"['esse verme', 'caduco', 'no fundo pensam como ele']","['esse verme', 'caduco']",esse verme; caduco; no fundo pensam como ele,https://www.instagram.com/p/B3R0XMrAt7g/,esse verme; caduco; 
Velho asqueroso 🤮,1.0,velho asqueroso,['velho asqueroso'],['velho asqueroso'],Velho asqueroso,https://www.instagram.com/p/B3R0XMrAt7g/,Velho asqueroso; 
Ainda aplaudem uma carniça dessas...,1.0,ainda aplaudem uma carniça dessas,['aplaudem uma carniça dessas'],['uma carniça dessas'],aplaudem uma carniça dessas,https://www.instagram.com/p/B3R0XMrAt7g/,uma carniça dessas; 
"Ele não está caduco, não! Ele sempre foi nojento!",1.0,ele não está caduco não ele sempre foi nojento,['ele sempre foi nojento'],"['caduco', 'nojento']",Ele sempre foi nojento,https://www.instagram.com/p/B3R0XMrAt7g/,caduco; nojento; 
"Imundo, cadê o presidente de merda pra falar q tá errado?? Vai tomar no cu mano eu fico revoltada com vcs, com a sociedade q votou em bosta, em um saco de bosta",1.0,imundo cadê o presidente de merda pra falar que está errado vai tomar no cu mano eu fico revoltada com vocês com a sociedade que votou em bosta em um saco de bosta,"['presidente de merda', 'vai tomar no cu', 'votou em bosta', 'um saco de bosta']","['imundo', 'presidente de merda', 'vai tomar no cu', 'votou em bosta', 'um saco de bosta']",presidente de merda; Vai tomar no cu; votou em bosta; um saco de bosta,https://www.instagram.com/p/B3R0XMrAt7g/,Imundo; presidente de merda; Vai tomar no cu; votou em bosta; um saco de bosta;
Este lixo e igual ao ditador Bozo fdp,1.0,este lixo e igual ao ditador bozó filho da puta,"['este lixo', 'ditador bozó', 'filho da puta']","['este lixo', 'filho da puta', 'ditador bozó']",Este lixo; ditador Bozo; fdp,https://www.instagram.com/p/B3R0XMrAt7g/,Este lixo; fdp; ditador Bozo; 
Doente imbecil... que asco desse velho.,1.0,doente imbecil que asco desse velho,"['doente imbecil', 'asco desse velho']","['doente imbecil', 'que asco desse velho']",Doente imbecil; asco desse velho,https://www.instagram.com/p/B3R0XMrAt7g/,Doente imbecil; que asco desse velho; 
"Velho idiota, queria que ele tivesse perguntado pra minha neta.",1.0,velho idiota queria que ele tivesse perguntado pra minha neta,['velho idiota'],['velho idiota'],Velho idiota,https://www.instagram.com/p/B3R0XMrAt7g/,Velho idiota; 
Cadê o MPF?? Tv é uma concessão pública!!! Esse depravado não pode fazer da emissora e do programa dele o que bem quer e entende.,1.0,cadê o moro televisão é uma concessão pública esse depravado não pode fazer da emissora e do programa dele o que bem quer e entende,"['depravado', 'o que bem quer e entende']",['esse depravado'],depravado; o que bem quer e entende,https://www.instagram.com/p/B3R0XMrAt7g/,Esse depravado; 
Precisa amarrar este VELHO caquético junto com o 💩 do presidente dele.,1.0,precisa amarrar este velho caquético junto com o do presidente dele,['precisa amarrar este velho caquético junto com o do presidente dele'],"['velho caquético', 'o bosta do presidente dele']",Precisa amarrar este VELHO caquético junto com o 💩 do presidente dele,https://www.instagram.com/p/B3R0XMrAt7g/,VELHO caquético; o bosta do presidente dele; 
Alguém tem que tirar esse cara nojento do ar!,1.0,alguém tem que tirar esse cara nojento do ar,['tem que tirar esse cara nojento do ar'],['esse cara nojento'],tem que tirar esse cara nojento do ar,https://www.instagram.com/p/B3R0XMrAt7g/,esse cara nojento
Ridículo....Velho babao,1.0,ridículo velho babão,"['ridículo', 'velho babão']","['ridículo', 'velho babão']",Ridículo; Velho babao,https://www.instagram.com/p/B3R0XMrAt7g/,Ridículo; Velho babao; 
Interna essa coisa,1.0,interna essa coisa,['interna essa coisa'],['interna essa coisa'],Interna essa coisa,https://www.instagram.com/p/B3R0XMrAt7g/,Interna essa coisa; 
"É surreal uma coisa dessa, que bosta de justiça é essa que nada faz contra esse pilantra?",1.0,é surreal uma coisa dessa que bosta de justiça é essa que nada faz contra esse pilantra,['que bosta de justiça é essa que nada faz contra esse pilantra'],"['bosta de justiça', 'esse pilantra']",que bosta de justiça é essa que nada faz contra esse pilantra,https://www.instagram.com/p/B3R0XMrAt7g/,bosta de justiça; esse pilantra; 
"Esse velho tá ridículo já perdi todo o apreço por ele faz tempo , ele já se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder .",1.0,esse velho está ridículo já perdi todo o apreço por ele faz tempo ele já se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder,"['esse velho está ridículo', 'se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder']","['esse velho está ridículo', 'um velho louco por dinheiro e poder', 'chupa políticos']",Esse velho tá ridículo; se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder,https://www.instagram.com/p/B3R0XMrAt7g/,Esse velho tá ridículo; um velho louco por dinheiro e poder; chupa políticos;
"Nojo, ta passando dos limites",1.0,nojo está passando dos limites,['nojo está passando dos limites'],"['nojo', 'está passando dos limites']","Nojo, ta passando dos limites",https://www.instagram.com/p/B3R0XMrAt7g/,Nojo; ta passando dos limites; 
Meu deus isso é nojento,1.0,meu deus isso é nojento,['meu deus isso é nojento'],['isso é nojento'],Meu deus isso é nojento,https://www.instagram.com/p/B3R0XMrAt7g/,isso é nojento; 
"Esses heróis da direitas são uns escrotos, doentes e perversos!",1.0,esses heróis da direitas são uns escrotos doentes e perversos,"['são uns escrotos', 'doentes', 'perversos']","['são uns escrotos', 'doentes', 'perversos']",são uns escrotos; doentes; perversos,https://www.instagram.com/p/B3R0XMrAt7g/,são uns escrotos; doentes; perversos;
Absurdo!!! Nojo desse babão tarado.,1.0,absurdo nojo desse babão tarado,['nojo desse babão tarado'],['nojo desse babão tarado'],Nojo desse babão tarado,https://www.instagram.com/p/B3R0XMrAt7g/,Nojo desse babão tarado; 
Ridiculo esse senhor,1.0,ridículo esse senhor,['ridículo esse senhor'],['ridículo esse senhor'],Ridiculo esse senhor,https://www.instagram.com/p/B3R0XMrAt7g/,Ridiculo esse senhor; 
"Homem nojento, sem limites!",1.0,homem nojento sem limites,['homem nojento sem limites'],['homem nojento'],"Homem nojento, sem limites",https://www.instagram.com/p/B3R0XMrAt7g/,Homem nojento; 
"Que coisa horrorosa, nunca teve conteúdo mesmo. Deprimente esse programa.",1.0,que coisa horrorosa nunca teve conteúdo mesmo deprimente esse programa,"['que coisa horrorosa', 'deprimente esse programa']","['que coisa horrorosa', 'nunca teve conteúdo mesmo', 'deprimente esse programa']",Que coisa horrorosa; Deprimente esse programa,https://www.instagram.com/p/B3R0XMrAt7g/,Que coisa horrorosa; nunca teve conteúdo mesmo; Deprimente esse programa;
"E a imbecil da mãe, ainda da risada.",1.0,e a imbecil da mãe ainda da risada,['a imbecil da mãe'],['a imbecil da mãe'],a imbecil da mãe,https://www.instagram.com/p/B3R0XMrAt7g/,a imbecil da mãe;
"Tá gaga? Isso é abuso, demoro pra sair só ar.",1.0,está gaga isso é abuso demoro pra sair só ar,['está gaga isso é abuso'],"['está gaga', 'isso é abuso']",Tá gaga? Isso é abuso,https://www.instagram.com/p/B3R0XMrAt7g/,Tá gaga?; Isso é abuso; 
"Escroto, nojento 🤮🤮🤮",1.0,escroto nojento,"['escroto', 'nojento']","['escroto', 'nojento']",Escroto; nojento ,https://www.instagram.com/p/B3R0XMrAt7g/,Escroto; nojento; 
É muito absurdo isso!!! É imoral e criminoso sim... delito dos mais graves!tem que ser tirado do ar... da casa das pessoas esse infame! 🤬🤮😡,1.0,é muito absurdo isso é imoral e criminoso sim delito dos mais graves tem que ser tirado do ar da casa das pessoas esse infame,"['imoral e criminoso', 'delito dos mais graves', 'tem que ser tirado do ar', 'infame']","['é imoral e criminoso sim', 'infame']",imoral e criminoso; delito dos mais graves; tem que ser tirado do ar;  infame,https://www.instagram.com/p/B3R0XMrAt7g/,É imoral e criminoso sim; infame; 
Facista nojento amigo de BOZO.,1.0,fascista nojento amigo de bozó,"['fascista', 'nojento amigo de bozó']","['nojento amigo de bozó', 'fascista']",Facista; nojento amigo de BOZO,https://www.instagram.com/p/B3R0XMrAt7g/,nojento amigo de BOZO; Facista; 
Nojo demais desse cara.,1.0,nojo demais desse cara,['nojo demais desse cara'],['nojo demais desse cara'],Nojo demais desse cara,https://www.instagram.com/p/B3R0XMrAt7g/,Nojo demais desse cara; 
Esse Sílvio santos é um VERME. U criminoso. Onde estava a VACA da Damares protetora da família. Essa pilantra não defende família coisa nenhuma.,1.0,esse sílvio santos é um verme cu criminoso onde estava a vaca da harpa protetora da família essa pilantra não defende família coisa nenhuma,"['é um verme', 'criminoso', 'onde estava a vaca da harpa protetora da família', 'essa pilantra não defende família']","['é um verme', 'essa pilantra', 'a vaca da harpa', 'cu criminoso']",é um VERME; criminoso; Onde estava a VACA da Damares protetora da família; Essa pilantra não defende família,https://www.instagram.com/p/B3R0XMrAt7g/,é um VERME; essa pilantra; a VACA da Damares; U criminoso; 
Lula tá preso babacas!,1.0,lula está preso babacas,['lula está preso babacas'],['babacas'],Lula tá preso babacas,https://www.instagram.com/p/B3R0XMrAt7g/,babacas; 
"Que palhaçada é essa, ridículo demais",1.0,que palhaçada é essa ridículo demais,['que palhaçada é essa ridículo demais'],"['que palhaçada é essa', 'ridículo demais']","Que palhaçada é essa, ridículo demais",https://www.instagram.com/p/B3R0XMrAt7g/,Que palhaçada é essa; ridículo demais;
"Um ridículo, sem noção, doentio...e rir ...criminoso!",1.0,um ridículo sem noção doentio e rir criminoso,"['ridículo sem noção doentio', 'criminoso']","['um ridículo sem noção doentio', 'criminoso']","ridículo, sem noção, doentio; criminoso",https://www.instagram.com/p/B3R0XMrAt7g/,"Um ridículo, sem noção, doentio; criminoso;"
"Não sei o que é mais precário: A Criança receber dinheiro à esse tipo de pouco e baixo argumento tão cedo, ou x -falta- fundamentalismo da boca suja do indivíduo ao pequeno...",1.0,não sei o que é mais precário a criança receber dinheiro à esse tipo de pouco e baixo argumento tão cedo ou ex falta fundamentalismo da boca suja do indivíduo ao pequeno,['falta fundamentalismo da boca suja do indivíduo ao pequeno'],"['boca suja do indivíduo', 'baixo argumento']",-falta- fundamentalismo da boca suja do indivíduo ao pequeno,https://www.instagram.com/p/B3R0XMrAt7g/,boca suja do indivíduo; baixo argumento;
"Isso é. O cúmulo da estupidez, da ignorância e da falta de respeito. Velho safado! Vá criar vergonha e redimir-se de suas brincadeiras maléficas!",1.0,isso é o cúmulo da estupidez da ignorância e da falta de respeito velho safado vá criar vergonha e redimirse de suas brincadeiras maléficas,"['o cúmulo da estupidez da ignorância e da falta de respeito', 'velho safado', 'vá criar vergonha', 'brincadeiras maléficas']","['vá criar vergonha', 'velho safado', 'brincadeiras maléficas', 'o cúmulo da estupidez da ignorância e da falta de respeito']","O cúmulo da estupidez, da ignorância e da falta de respeito; Velho safado; Vá criar vergonha; brincadeiras maléficas",https://www.instagram.com/p/B3R0XMrAt7g/,"Vá criar vergonha; Velho safado; brincadeiras maléficas; O cúmulo da estupidez, da ignorância e da falta de respeito;"
Acho que já passou da hora desse otário responder pelos desrespeito que ele comete... E ainda tem esses pais que colocam as crianças nessa situação por dinheiro ou por alguns minutos de fama ... lamentável,1.0,acho que já passou da hora desse otário responder pelos desrespeito que ele comete e ainda tem esses pais que colocam as crianças nessa situação por dinheiro ou por alguns minutos de fama lamentável,"['passou da hora', 'otário', 'desrespeito']",['otário'],passou da hora; otário; desrespeito,https://www.instagram.com/p/B3R0XMrAt7g/,otário; 
Eu só queria que a Maísa desse um pé na bunda desse nojento! Uma rainha daquelas❤️,1.0,eu só queria que a maísa desse um pé na bunda desse nojento uma rainha daquelas,['desse um pé na bunda desse nojento'],['desse um pé na bunda desse nojento'],desse um pé na bunda desse nojento,https://www.instagram.com/p/B3R0XMrAt7g/,desse um pé na bunda desse nojento; 
"Cadê os responsáveis de preservar os direitos das crianças.... eu respondo indignada, que até mesmo os conselhos tutelares que poderiam fazer alguma coisa, não vão fazer, pois estão nas mãos da universal, igreja de corruptos e safados. É minha gente estamos indo de mal a pior....",1.0,cadê os responsáveis de preservar os direitos das crianças eu respondo indignada que até mesmo os conselhos tutelares que poderiam fazer alguma coisa não vão fazer pois estão nas mãos da universal igreja de corruptos e safados é minha gente estamos indo de mal a pior,"['cadê os responsáveis de preservar os direitos das crianças', 'até mesmo os conselhos tutelares que poderiam fazer alguma coisa não vão fazer', 'igreja de corruptos e safados']",['igreja de corruptos e safados'],"Cadê os responsáveis de preservar os direitos das crianças; até mesmo os conselhos tutelares que poderiam fazer alguma coisa, não vão fazer; igreja de corruptos e safados",https://www.instagram.com/p/B3R0XMrAt7g/,igreja de corruptos e safados; 
Eu não consigo dar play no vídeo de tanto nojo que sinto!,1.0,eu não consigo dar play no vídeo de tanto nojo que sinto,['não consigo dar play no vídeo de tanto nojo que sinto'],['de tanto nojo que sinto'],não consigo dar play no vídeo de tanto nojo que sinto,https://www.instagram.com/p/B3R0XMrAt7g/,de tanto nojo que sinto;
Já está caducou affff 🤑,1.0,já está caducou aiai,['já está caducou'],['já está caducou aiai'],Já está caducou,https://www.instagram.com/p/B3R0XMrAt7g/,Já está caducou affff; 
"Esse cara tem que ser calado, não podemos achar que seja senilidade, é um criminoso sem escrúpulos e sabe bem que está fazendo.",1.0,esse cara tem que ser calado não podemos achar que seja senilidade é um criminoso sem escrúpulos e sabe bem que está fazendo,"['esse cara tem que ser calado', 'é um criminoso sem escrúpulos']",['é um criminoso sem escrúpulos'],Esse cara tem que ser calado; é um criminoso sem escrúpulos,https://www.instagram.com/p/B3R0XMrAt7g/,é um criminoso sem escrúpulos; 
Velho ridículo 🤢🤮,1.0,velho ridículo,['velho ridículo'],['velho ridículo'],Velho ridículo,https://www.instagram.com/p/B3R0XMrAt7g/,Velho ridículo; 
"Interditem esse velhote urgentemente e que a família assuma a emissora ou que a concessão seja passa à frente por pessoas mais competentes e responsáveis.O SBT já não faz mais programa para a FAMÍLIA brasileira com respeito como antes. Senor Abravanel,o senhor está sem noção.",1.0,eternizem esse velhote urgentemente e que a família assuma a emissora ou que a concessão seja passa à frente por pessoas mais competentes e responsáveis o sbt já não faz mais programa para a família brasileira com respeito como antes benito abrão o senhor está sem noção,"['eternizem esse velhote urgentemente', 'o senhor está sem noção']","['esse velhote', 'o senhor está sem noção']",Interditem esse velhote urgentemente; o senhor está sem noção,https://www.instagram.com/p/B3R0XMrAt7g/,esse velhote; o senhor está sem noção; 
E ninguém processa esse nogento,1.0,e ninguém processa esse nojento,['ninguém processa esse nojento'],['e ninguém processa esse nojento'],ninguém processa esse nogento,https://www.instagram.com/p/B3R0XMrAt7g/,E ninguém processa esse nogento; 
👹SILVIO DOIDO👈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 doente,1.0,alívio doido doente,"['doido', 'doente']",['silvio doido doente'],DOIDO; doente,https://www.instagram.com/p/B3R0XMrAt7g/,SILVIO DOIDO DOENTE; 
Desequilibrado! Até quandoo?,1.0,desequilibrado até quando,['desequilibrado'],['desequilibrado'],Desequilibrado,https://www.instagram.com/p/B3R0XMrAt7g/,Desequilibrado; 
Ainda tem quem ache engraçado esse velho pervertido,1.0,ainda tem quem ache engraçado esse velho pervertido,['velho pervertido'],['esse velho pervertido'],velho pervertido,https://www.instagram.com/p/B3R0XMrAt7g/,esse velho pervertido
Aqueles tapinhas no braço da menina deveriam ser dado com muuuito mais força na cara desse BABACA!,1.0,aqueles tapinhas no braço da menina deveriam ser dado com muito mais força na cara desse babaca,"['tapinhas', 'muito mais força na cara', 'babaca']",['babaca'],tapinhas; muuuito mais força na cara; BABACA,https://www.instagram.com/p/B3R0XMrAt7g/,BABACA
Faz parte do patriarcado brasileiro querem o que?? Homens nojentos que já veem meninas como mulheres.,1.0,faz parte do patriarcado brasileiro querem o que homens nojentos que já veem meninas como mulheres,['homens nojentos que já veem meninas como mulheres'],['homens nojentos'],Homens nojentos que já veem meninas como mulheres,https://www.instagram.com/p/B3R0XMrAt7g/,Homens nojentos; 
O nariz tah crescendo ou é impressão minha? 😂😂,1.0,o nariz está crescendo ou é impressão minha,['nariz está crescendo ou é impressão minha'],['o nariz está crescendo ou é impressão minha'],nariz tah crescendo ou é impressão minha?,https://www.instagram.com/p/C5ZLiSBPgFa/,O nariz tah crescendo ou é impressão minha?; 
Dois inúteis só faltou o @cirogomes,1.0,dois inúteis só faltou o cirogomes,['dois inúteis só faltou o cirogomes'],['dois inúteis'],Dois inúteis só faltou o @cirogomes,https://www.instagram.com/p/B3efAGxlTKb/,Dois inúteis; 
"Pqp, comunista fdp",1.0,puta que pariu comunista filho da puta,"['puta que pariu', 'comunista', 'filho da puta']","['puta que pariu', 'filho da puta', 'comunista']",Pqp; comunista; fdp,https://www.instagram.com/p/B3efAGxlTKb/,Pqp; fdp; comunista; 
Show de horror kkkkkkkkkk Puta que pariu,1.0,show de horror kkk puta que pariu,"['show de horror', 'puta que pariu']","['show de horror', 'puta que pariu']",Show de horror; Puta que pariu,https://www.instagram.com/p/B3efAGxlTKb/,Show de horror; Puta que pariu; 
Ainda bem q nos livramos disso 🙏🙏,1.0,ainda bem que nos livramos disso,['ainda bem que nos livramos disso'],['ainda bem que nos livramos disso'],Ainda bem q nos livramos disso,https://www.instagram.com/p/B3efAGxlTKb/,Ainda bem q nos livramos disso
Caiu em desgraça no PSL. TR CUIDA!@@,1.0,caiu em desgraça no coligação ter cuida,['caiu em desgraça no coligação'],['caiu em desgraça'],Caiu em desgraça no PSL,https://www.instagram.com/p/B3efAGxlTKb/,Caiu em desgraça
"Foto pesada slc, mais pesado que os quilo do condenado do lula",1.0,foto pesada slc mais pesado que os quilo do condenado do lula,['mais pesado que os quilo do condenado do lula'],['foto pesada slc mais pesado que os quilo do condenado do lula'],mais pesado que os quilo do condenado do lula,https://www.instagram.com/p/B3efAGxlTKb/,"Foto pesada slc, mais pesado que os quilo do condenado do lula;"
Você vai rir feito um condenado Haddad?,1.0,você vai rir feito um condenado haddad,['você vai rir feito um condenado haddad'],['você vai rir feito um condenado haddad'],Você vai rir feito um condenado Haddad?,https://www.instagram.com/p/B3efAGxlTKb/,Você vai rir feito um condenado Haddad?; 
Só vim ler o choro dos gados,1.0,só vim ler o choro dos gados,['choro dos gados'],['só vim ler o choro dos gados'],choro dos gados,https://www.instagram.com/p/B3efAGxlTKb/,Só vim ler o choro dos gados; 
Dois pilantras. FDP,1.0,dois pilantras filho da puta,"['dois pilantras', 'filho da puta']","['dois pilantras', 'filho da puta']",Dois pilantras; FDP,https://www.instagram.com/p/B3efAGxlTKb/,Dois pilantras; FDP; 
Aceitar comentários de Minions é de uma grandeza absoluta... só por isso tem meu voto eternamente,1.0,aceitar comentários de minions é de uma grandeza absoluta só por isso tem meu voto eternamente,['aceitar comentários de minions é de uma grandeza absoluta'],['aceitar comentários de minions é de uma grandeza absoluta'],Aceitar comentários de Minions é de uma grandeza absoluta,https://www.instagram.com/p/B3efAGxlTKb/,Aceitar comentários de Minions é de uma grandeza absoluta; 
Cruz credo. vai para o quinto dos infernos,1.0,cruz credo vai para o quinto dos infernos,"['cruz credo', 'vai para o quinto dos infernos']","['cruz credo', 'vai para o quinto dos infernos']",Cruz credo; vai para o quinto dos infernos,https://www.instagram.com/p/B3efAGxlTKb/,Cruz credo; vai para o quinto dos infernos; 
Ele rouba tbm? bandidos,1.0,ele rouba também bandidos,"['ele rouba também', 'bandidos']","['ele rouba também', 'bandidos']",Ele rouba tbm?; bandidos,https://www.instagram.com/p/B3efAGxlTKb/,Ele rouba tbm?; bandidos; 
Que comunistinhas lindos 💜😆,1.0,que comunistas lindos,['comunistas'],['comunistas'],comunistinhas,https://www.instagram.com/p/B3efAGxlTKb/,comunistinhas; 
Dois tipos sem graça e sem vergonha!,1.0,dois tipos sem graça e sem vergonha,['sem graça e sem vergonha'],['sem graça e sem vergonha'],sem graça e sem vergonha,https://www.instagram.com/p/B3efAGxlTKb/,sem graça e sem vergonha; 
"Fernando, a Globo está negociando com demônios outra vez... mas, o que acontece... no MUNDO espiritual alguém está cortando a macumba da Globo🌶hoje um astronauta morreu... se comunique com os partidos de Esquerda do B' Dos BRICS... e fale o ocorrido🙏 Mahasiah Amém🙏 a Globo Biscate NÃO",1.0,fernando a globo está negociando com demônios outra vez mas o que acontece no mundo espiritual alguém está cortando a macumba da globo de um astronauta morreu se comunique com os partidos de esquerda do bom dos brins e fale o ocorrido malásia amém a globo biscate não,"['a globo está negociando com demônios outra vez', 'no mundo espiritual alguém está cortando a macumba da globo', 'a globo biscate não']","['a globo biscate não', 'a macumba da globo', 'a globo está negociando com demônios']",a Globo está negociando com demônios outra vez; no MUNDO espiritual alguém está cortando a macumba da Globo; a Globo Biscate NÃO,https://www.instagram.com/p/B3efAGxlTKb/,a Globo Biscate NÃO; a macumba da Globo; a Globo está negociando com demônios; 
Sem contar que a Globo Mandou Roubar a TV Cultura🌶🖤🦅,1.0,sem contar que a globo mandou roubar a televisão cultura,['a globo mandou roubar a televisão cultura'],['a globo mandou roubar a televisão cultura'],a Globo Mandou Roubar a TV Cultura,https://www.instagram.com/p/B3efAGxlTKb/, a Globo Mandou Roubar a TV Cultura; 
"Esse otario merece uma corretiva,,,vamos ver se é homem,, assim como é na língua,,, dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas,,,, não vpide comparar as oessiasy como se fosse da família dele!",1.0,esse otário merece uma corretiva vamos ver se é homem assim como é na língua dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas não vide comparar as messias como se fosse da família dele,"['esse otário', 'merece uma corretiva', 'vamos ver se é homem', 'assim como é na língua', 'dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas']",['vamos ver se é homem assim como é na língua'],Esse otario; merece uma corretiva; vamos ver se é homem; assim como é na língua; dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas,https://www.instagram.com/tv/B5TgBngnkBN/,"vamos ver se é homem, assim como é na língua; "
KD as mídias que defendem a mulher lá o ativismo na verdade só é válido quando e da turma petralha,1.0,cadê as mídias que defendem a mulher lá o ativismo na verdade só é válido quando e da turma petista,['o ativismo na verdade só é válido quando e da turma petista'],['turma petista'],o ativismo na verdade só é válido quando e da turma petralha,https://www.instagram.com/tv/B5TgBngnkBN/,turma petralha; 
"Não entendo essa democracia que um imbecil que escreve isso contra uma autoridade não vai preso, não é processado e eles falam tudo q querem e ninguém faz nada. Absurdo isso. ",1.0,não entendo essa democracia que um imbecil que escreve isso contra uma autoridade não vai preso não é processado e eles falam tudo que querem e ninguém faz nada absurdo isso,"['um imbecil', 'eles falam tudo que querem e ninguém faz nada']",['um imbecil'],um imbecil; eles falam tudo q querem e ninguém faz nada,https://www.instagram.com/tv/B5TgBngnkBN/,um imbecil;
Caralho!! Que jornalista desgraçado!!!,1.0,caralho que jornalista desgraçado,"['caralho', 'que jornalista desgraçado']","['caralho', 'que jornalista desgraçado']",Caralho; Que jornalista desgraçado,https://www.instagram.com/tv/B5TgBngnkBN/,Caralho; Que jornalista desgraçado;
"Vergonha o que fazem esses pseudos ptistas e permanecem impunes, isso é por que eles têm o STF, a câmara e senado ao seu favor, chega de canalhice.",1.0,vergonha o que fazem esses pseudo petistas e permanecem impunes isso é por que eles têm o senado a câmara e senado ao seu favor chega de canalhice,"['vergonha o que fazem esses pseudo petistas e permanecem impunes', 'chega de canalhice']","['chega de canalhice', 'esses pseudo petistas']",Vergonha o que fazem esses pseudos ptistas e permanecem impunes; chega de canalhice,https://www.instagram.com/tv/B5TgBngnkBN/,chega de canalhice; esses pseudos ptistas; 
Que absurdo meu Deus!!!! Na ditadura uma dessa neguinho ia pro xilindró... ninguém vai fazer nada???🥵🥵🥵🥵🥵🥵,1.0,que absurdo meu deus na ditadura uma dessa neguinho ia pro xilindró ninguém vai fazer nada,['na ditadura uma dessa neguinho ia pro xilindró'],"['que absurdo meu deus', 'na ditadura uma dessa neguinho ia pro xilindró']",Na ditadura uma dessa neguinho ia pro xilindró,https://www.instagram.com/tv/B5TgBngnkBN/,Que absurdo meu Deus; Na ditadura uma dessa neguinho ia pro xilindró; 
Ridículo. Jornalista não é gente.,1.0,ridículo jornalista não é gente,"['ridículo', 'jornalista não é gente']","['jornalista não é gente', 'ridículo']",Ridículo; Jornalista não é gente,https://www.instagram.com/tv/B5TgBngnkBN/,Jornalista não é gente; Ridículo; 
"Muito bem respondido a esses carniceiros da imprensa marrom brasileira...o silêncio as vezes é melhor do que mil palavras ...basta ser bom entendedor .. globô bolixo,Uol e grupo",1.0,muito bem respondido a esses carniceiros da imprensa marrom brasileira o silêncio as vezes é melhor do que mil palavras basta ser bom entendedor globo bolino uol e grupo,"['carniceiros da imprensa marrom brasileira', 'globo bolino']","['a esses carniceiros da imprensa marrom brasileira', 'globo bolino']",carniceiros da imprensa marrom brasileira; globô bolixo,https://www.instagram.com/tv/B5TgBngnkBN/,a esses carniceiros da imprensa marrom brasileira; globô bolixo; 
isso não é imprensa isso é abutres e o pior de tudo que muitos aí estão sendo pagos com dinheiro público dinheiro vindo de ONGs e de facções políticas criminosas disfarçadas de partidos políticos Essa é a pior parte.,1.0,isso não é imprensa isso é abutres e o pior de tudo que muitos aí estão sendo pagos com dinheiro público dinheiro vindo de instituições e de facções políticas criminosas disfarçadas de partidos políticos essa é a pior parte,"['abutres', 'sendo pagos com dinheiro público', 'facções políticas criminosas disfarçadas de partidos políticos']","['isso não é imprensa isso é abutres', 'facções políticas criminosas disfarçadas de partidos políticos']",abutres; sendo pagos com dinheiro público; facções políticas criminosas disfarçadas de partidos políticos,https://www.instagram.com/tv/B5TgBngnkBN/,isso não é imprensa isso é abutres; facções políticas criminosas disfarçadas de partidos políticos;
Que tristeza! Uma pessoa tão cruel nem deveria ser chamado de jornalista,1.0,que tristeza uma pessoa tão cruel nem deveria ser chamado de jornalista,['uma pessoa tão cruel nem deveria ser chamado de jornalista'],['uma pessoa tão cruel nem deveria ser chamado de jornalista'],Uma pessoa tão cruel nem deveria ser chamado de jornalista,https://www.instagram.com/tv/B5TgBngnkBN/,Uma pessoa tão cruel nem deveria ser chamado de jornalista; 
"Divulguem o nome do jornalista, tem que ser levado a justiça, cadeia nele.",1.0,divulguem o nome do jornalista tem que ser levado a justiça cadeia nele,['cadeia nele'],['cadeia nele'],cadeia nele,https://www.instagram.com/tv/B5TgBngnkBN/,cadeia nele; 
"Que texto baixo, enojante. Esse pessoal da esquerda tá cada vez pior...",1.0,que texto baixo ecoante esse pessoal da esquerda está cada vez pior,"['que texto baixo ecoante', 'está cada vez pior']","['que texto baixo ecoante', 'esse pessoal da esquerda está cada vez pior']","Que texto baixo, enojante; tá cada vez pior",https://www.instagram.com/tv/B5TgBngnkBN/,"Que texto baixo, enojante; Esse pessoal da esquerda tá cada vez pior; "
